,Final Score,Proc. IQ,Stability,ARI,LSI,ESI,ECI,GTI,ONR,REI
TCN,83.66301274879321,0.14835936880009498,0.9472484861028316,2.8966273275339898,0.4841049185578837,95.4485395554202,0.38024998110471064,1.3297010448128614,5.915840529548875,0.26279461035093854
Transformer,81.22265953223277,0.275467821885482,0.9033134876092663,2.9355882012176258,0.4429792644222703,164.43437764363014,0.3450779310359785,0.8512867183942975,5.627650262267812,0.0852482800094902
Zarvan,78.57445385473433,0.22906882841869072,0.6838465820785584,2.9117967855688205,0.5286392084127115,230.51575463170485,0.30980752030532455,0.7687600190938328,5.091117004360107,0.13523292822090335
CNN,69.98848418352355,0.16706276916173748,0.8527271682915937,2.773320063989381,0.3328367811537718,783.234101171149,0.36839169762998886,0.9408813861175344,3.052188249123159,0.017435364045597326
GRU,61.564374222563075,0.1658427066957689,0.6229513265368967,2.9233056556562502,0.29516231799794806,156.2349812621089,0.29883798783958515,1.1765587431633815,0.7992293064286975,0.10551810067827483
Longformer,60.59026684096564,0.2153024821836907,0.8347977711650082,3.0004821555667855,0.3024672974753263,61.264696128912874,0.11767374834393989,0.9960845715170944,2.1592909763741965,0.062393467387835175
LSTM,56.6506528058002,0.18610122216822383,0.7181661324874744,2.8947840294835077,0.20445215959426202,130.2392118796925,0.2528846696023287,1.2021570888285422,0.510565672295479,0.013147200618993831
